mapX,mapY,pixelX,pixelY,enable
-7910345.91465149261057377,5215071.62835507281124592,6834.58880778588809335,-2267.20437956204386865,1
-7910123.66650739777833223,5215030.11996493954211473,6744.53527980535181996,-3580.09002433089972328,1
-7910209.67545689083635807,5214917.69079780578613281,6064.98661800486115681,-3162.40754257907656211,1
-7910182.17296527232974768,5214678.06260692421346903,4724.84793187347713683,-3466.93065693430708052,1
-7910305.42487216833978891,5214706.58370934333652258,4810.16180048661590263,-2755.98175182482327727,1
-7910407.66793129779398441,5214744.14498262107372284,4951.16666666666424135,-2151.6751824817583838,1
-7910316.37493827659636736,5214513.55696259625256062,3701.08150851581558527,-2777.31021897810796872,1
-7910591.90915988571941853,5214492.03880942892283201,3432.1058394160595526,-1227.44160583942266385,1
-7910504.05397831927984953,5214287.80734386947005987,2308.21411192214145558,-1871.44282238443429378,1
-7910666.01309564430266619,5214397.81731035374104977,2828.39172749391809703,-885.59367396594188904,1
-7910507.8737688222900033,5214419.4627898707985878,3050.56326034063431507,-1768.94768856448376937,1
-7910642.71237357705831528,5214279.27647841349244118,2163.06204379562223039,-1071.03284671533492656,1
-7910555.366497409529984,5214220.32437831815332174,1889.93917274939349227,-1610.7615571776213983,1
-7910782.0710637578740716,5214087.90497421473264694,1003.62287104623078449,-403.33333333333871451,1
-7910725.92014336492866278,5214314.22756151296198368,2308.21411192214327457,-594.10462287105156065,1
-7910650.6702704569324851,5214061.35743021685630083,932.52798053528226774,-1162.86374695864242312,1
-7910505.96387357357889414,5214168.94819605257362127,1629.25790754258173365,-1929.50364963504125626,1
-7910359.85688683483749628,5214158.95307756867259741,1667.17518248175429108,-2780.27250608272925092,1
-7910208.70084681175649166,5214152.75563316605985165,1740.63990267640178899,-3659.47931873479819842,1
-7910244.1172346007078886,5214222.2342735705897212,2100.85401459854210771,-3402.35279805353093252,1
-7910167.59409819263964891,5214358.47346817795187235,2906.59610705596332991,-3749.53284671533083383,1
-7910273.2749687759205699,5214361.91127962712198496,2865.12408759124127755,-3144.04136253041542659,1
-7910380.22910285927355289,5214327.66049145348370075,2604.44282238442838207,-2550.99148418491540724,1
-7910159.71576163545250893,5214559.94415369164198637,4044.11435523114460011,-3673.10583941605773362,1
-7910242.20733935385942459,5214559.26712228171527386,4007.38199513382187433,-3188.47566909975557792,1
-7910073.11794642359018326,5214698.68947563786059618,4905.54744525547812373,-4077.16180048661681212,1
-7910012.51060377806425095,5214559.52177498117089272,4132.98296836983445246,-4506.10097323600894015,1
-7910002.06984307244420052,5214820.28613998275250196,5627.7530413625345318,-4408.93795620438140759,1
-7910502.33507260587066412,5214779.41438160557299852,5071.43552311435632873,-1594.76520681265151325,1
-7910524.04233263060450554,5214880.37324487045407295,5657.96836982968670782,-1406.36374695863537454,1
-7910654.06891901791095734,5214760.0716386279091239,4885.40389294404303655,-747.55109489050846605,1
-7910515.21781360916793346,5214781.32252116873860359,5089.20924574209584534,-1509.45133819951115584,1
-7910698.86685996502637863,5214715.76895129960030317,4633.01703163017373299,-496.34914841848922151,1
-7909890.34281622152775526,5214977.98323077242821455,6581.0170316301728235,-4959.92335766423275345,1
-7909884.98507253173738718,5214803.7890262259170413,5614.12652068126953964,-5105.66788321167950926,1
-7910201.94738837797194719,5214622.52620184887200594,4376.48296836983172398,-3411.8321167883191265,1
-7909942.52453839499503374,5215064.02229122817516327,7061.50000000000181899,-4592.59975669099731022,1
-7910104.42744859121739864,5214856.9162325719371438,5761.6484184914834259,-3805.81630170316157091,1
